sponsor,n_samples,auc
"Loxo Oncology, Inc.",15,0.5714285714285714
Ludwig Boltzmann Gesellschaft,6,0.0
LumiraDx UK Limited,15,0.1923076923076923
Lupin Ltd.,13,0.41666666666666663
LycoRed Ltd.,9,0.0
Lykos Therapeutics,27,0.4571428571428571
MC2 Therapeutics,8,0.1428571428571429
MEDA Pharma GmbH & Co. KG,22,0.04761904761904767
MaaT Pharma,8,0.0
Maastricht Radiation Oncology,104,0.665625
Maastricht University Medical Center,816,0.5197204968944099
"Macquarie University, Australia",6,0.25
Mahidol University,683,0.49730538922155687
Maisonneuve-Rosemont Hospital,72,0.391304347826087
Makerere University,138,0.3897058823529412
"Manhattan Eye, Ear & Throat Hospital",14,0.3
Mario Negri Institute for Pharmacological Research,145,0.5564713064713065
Marshfield Clinic Research Foundation,7,0.0
"Mast Therapeutics, Inc.",13,0.5454545454545454
Maternal and Child Health Hospital of Foshan,7,0.6666666666666666
"Mathematica Policy Research, Inc.",48,0.6382978723404256
Mati Therapeutics Inc.,14,0.20833333333333331
Medacta International SA,44,0.2682926829268293
"Medecins Sans Frontieres, Netherlands",13,0.41666666666666663
Medi-Tate Ltd.,6,0.6666666666666666
Medical University of Gdansk,103,0.7033333333333333
Medical University of Graz,432,0.4888808924073408
Medicrea International,7,0.2
Medipol University,200,0.71875
Medivir,8,0.2857142857142857
Medtronic Cardiac Ablation Solutions,30,0.03448275862068961
Medtronic Spine LLC,7,0.3333333333333333
Medtronic Surgical Technologies,13,0.3333333333333333
MedtronicNeuro,70,0.3680555555555555
MeiraGTx UK II Ltd,9,0.5
"Melinta Therapeutics, Inc.",31,0.4537037037037037
Mendus,6,0.19999999999999996
Menoufia University,149,0.41216216216216217
"Mental Health Services in the Capital Region, Denmark",86,0.6071428571428572
Merck Sharp & Dohme LLC,2032,0.5536152046196708
Methodist Healthcare,5,0.0
MetroHealth Medical Center,95,0.49999999999999994
Michigan State University,130,0.718931475029036
Midwestern Regional Medical Center,8,0.6
Military Institute od Medicine National Research Institute,36,0.338235294117647
Milton S. Hershey Medical Center,466,0.5546004457179242
Minneapolis Veterans Affairs Medical Center,36,0.7421875
Mirati Therapeutics Inc.,48,0.4560185185185185
Mitsubishi Tanabe Pharma America Inc.,24,0.4603174603174603
Mitsubishi Tanabe Pharma Corporation,148,0.5562310030395137
Mode Sensors AS,7,0.2
"Momenta Pharmaceuticals, Inc.",9,0.16666666666666666
Montefiore Medical Center,379,0.5505415162454874
Mustafa Kemal University,58,0.543859649122807
"Myriad Genetic Laboratories, Inc.",15,0.30357142857142855
"NGM Biopharmaceuticals, Inc",24,0.5
NHS Lothian,48,0.2511627906976744
"NKGen Biotech, Inc.",6,0.4444444444444445
Nanchong Central Hospital,14,0.15384615384615385
Nantes University Hospital,765,0.6641452344931921
Nanyang Technological University,37,0.08333333333333337
"Nasser Hanna, M.D.",7,0.75
National Center for Research Resources (NCRR),170,0.3073852295409181
"National Cerebral and Cardiovascular Center, Japan",18,0.53125
National Cheng-Kung University Hospital,243,0.6181434599156118
"National Dental Centre, Singapore",5,0.0
"National Institute of Cardiology, Warsaw, Poland",49,0.48936170212765956
"National Institute of Cardiovascular Diseases, Pakistan",16,0.0
National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),506,0.5396459227467811
"National Institute of Pediatrics, Mexico",7,0.0
National Institute on Alcohol Abuse and Alcoholism (NIAAA),91,0.6842818428184282
National Institutes of Health Clinical Center (CC),356,0.6987377279102384
"National Research Centre for the Working Environment, Denmark",20,0.3157894736842105
"National University of Ireland, Galway, Ireland",43,0.6025641025641026
National University of Natural Medicine,30,0.40384615384615385
National Yang Ming Chiao Tung University,179,0.5511363636363635
Navidea Biopharmaceuticals,18,0.2716049382716049
